ancestry	filter	af_limit	total_vars	filtered_vars	proportion_removed
afr	af_filter	1e-06	13616.64	73.65	0.994591176677947
amr	af_filter	1e-06	12235.66	53.1	0.995660225929782
eas	af_filter	1e-06	12450.28	74.54	0.994012986053326
nfe	af_filter	1e-06	11953.86	44.85	0.99624807384393
sas	af_filter	1e-06	12230.67	67.09	0.994514609583939
afr	af_filter	3.16227766016838e-06	13616.64	73.65	0.994591176677947
amr	af_filter	3.16227766016838e-06	12235.66	53.1	0.995660225929782
eas	af_filter	3.16227766016838e-06	12450.28	74.54	0.994012986053326
nfe	af_filter	3.16227766016838e-06	11953.86	44.85	0.99624807384393
sas	af_filter	3.16227766016838e-06	12230.67	67.09	0.994514609583939
afr	af_filter	1e-05	13616.64	77.56	0.994304028012784
amr	af_filter	1e-05	12235.66	56.3	0.995398695289016
eas	af_filter	1e-05	12450.28	77.69	0.993759979695236
nfe	af_filter	1e-05	11953.86	53.3	0.99554118920583
sas	af_filter	1e-05	12230.67	69.99	0.994277500741987
afr	af_filter	3.16227766016838e-05	13616.64	83.98	0.99383254606129
amr	af_filter	3.16227766016838e-05	12235.66	70.16	0.994265940701196
eas	af_filter	3.16227766016838e-05	12450.28	82.42	0.993380068560707
nfe	af_filter	3.16227766016838e-05	11953.86	68.5	0.994269633407117
sas	af_filter	3.16227766016838e-05	12230.67	84.82	0.993064975181245
afr	af_filter	1e-04	13616.64	117.04	0.991404634329761
amr	af_filter	1e-04	12235.66	87.44	0.992853675241058
eas	af_filter	1e-04	12450.28	113.99	0.990844382616295
nfe	af_filter	1e-04	11953.86	85.94	0.992810690438068
sas	af_filter	1e-04	12230.67	108.26	0.991148481644914
afr	af_filter	0.000316227766016838	13616.64	148.22	0.989114788964091
amr	af_filter	0.000316227766016838	12235.66	115.9	0.990527687104741
eas	af_filter	0.000316227766016838	12450.28	145.17	0.988340021268598
nfe	af_filter	0.000316227766016838	11953.86	109.44	0.990844798249268
sas	af_filter	0.000316227766016838	12230.67	141.93	0.988395566228179
afr	af_filter	0.001	13616.64	205.9	0.98487879535627
amr	af_filter	0.001	12235.66	151.9	0.987585467396119
eas	af_filter	0.001	12450.28	189.21	0.984802751424064
nfe	af_filter	0.001	11953.86	142.34	0.988092549184949
sas	af_filter	0.001	12230.67	190.95	0.98438760918249
afr	af_filter	0.00316227766016838	13616.64	310.82	0.977173517108479
amr	af_filter	0.00316227766016838	12235.66	204.09	0.98332006610187
eas	af_filter	0.00316227766016838	12450.28	258.31	0.979252675441837
nfe	af_filter	0.00316227766016838	11953.86	198.54	0.983391138929183
sas	af_filter	0.00316227766016838	12230.67	264.28	0.978392025947883
afr	af_filter	0.01	13616.64	535.44	0.960677523970671
amr	af_filter	0.01	12235.66	274.81	0.977540238940932
eas	af_filter	0.01	12450.28	345.48	0.972251226478441
nfe	af_filter	0.01	11953.86	298.89	0.974996361008076
sas	af_filter	0.01	12230.67	379.18	0.968997610106397
afr	af_filter	0.05	13616.64	1377.35	0.898848027119759
amr	af_filter	0.05	12235.66	503.26	0.958869403039967
eas	af_filter	0.05	12450.28	555.22	0.955405019003589
nfe	af_filter	0.05	11953.86	591.47	0.950520584982591
sas	af_filter	0.05	12230.67	664.79	0.945645659640886
